,,3M,Caterpiller,AM International,Yoyodyne,Boeing,AT&T Technologies
,,ChemIndust 3,Keven Real Estate 2,Growth Development V,Rocket Fund,"Space Fund, Aerofund",Global Fund X
,,john@3M.com,madison@cat.com,rich@am.international.org,alan@yoyodyne.org,leila@boeing.com,janet@att.com
,,2024,2024,2024,2024,2024,2024
,,Chemicals,Construction,Consulting,Aerospace,Aerospace,IT
,,88,74,65,97,70,90
questionNumber,questionText,answer,answer,answer,answer,answer,answer
1.1.1,"Is your organization currently aware of any slavery, servitude, forced or compulsory labor, and/or human trafficking in any part of the organization’s business (including all sites, facilities, or operational locations) operations or supply chain (including all suppliers)?",Aliquam fames neque congue commodo placerat; ridiculus netus! Tempor vel venenatis egestas potenti ad venenatis odio habitasse mi.,Metus est litora potenti maximus velit platea interdum interdum.,Sed magna ullamcorper lectus nec sagittis vel.,Convallis mauris facilisis congue; condimentum turpis dapibus.,Risus mollis aliquet habitasse mi class vestibulum.,"Lorem ipsum odor amet, consectetuer adipiscing elit."
1.1.10,"Does your organization have a written policy, a separate policy or included in an ethical trading policy or Code of Conduct, in place that prohibits modern slavery, including all forms of forced labor, bonded labor, child labor, and human trafficking, in its operations and those of its suppliers?","Facilisi phasellus erat porta, gravida erat pharetra integer? Ultricies urna phasellus ultricies magna orci mauris.",Hac eget nisi sapien ligula inceptos rutrum habitant ac.,Fusce lobortis volutpat neque; curae dui at est natoque ad.,Fusce pretium cras est ac platea diam.,Sagittis class sit ultricies sapien conubia consequat nibh nulla.,Cras facilisis sed nunc orci adipiscing duis nam.
1.1.11,"Does your organization currently have a program in place to ensure that modern slavery and human trafficking do not exist in your business operations and supply chain, including those business operations and suppliers located outside of your organization’s home country?",Ultricies iaculis magnis justo ligula eleifend laoreet faucibus mollis.,Augue vivamus rhoncus dapibus; cras parturient fusce maecenas sapien.,Euismod ultrices libero elementum pretium; sagittis tempus proin.,Vitae ultricies faucibus eleifend praesent; leo fermentum placerat mus.,Sodales lacinia scelerisque molestie hac ut ad mi.,"Sodales eu fringilla eleifend orci, lobortis rutrum nibh porttitor sodales."
1.1.12,Has the responsibility for addressing modern slavery and human trafficking been formally assigned to your organization’s board of directors or comparable governing body?,Mi arcu maximus mus ultricies viverra blandit sapien inceptos vestibulum.,Torquent primis neque nunc fermentum nullam convallis.,Amet maecenas lectus quam ante mus morbi mollis.,Lacinia nibh curabitur convallis nibh placerat aliquam.,Purus nascetur pretium elit mus elit nunc natoque donec.,Nullam tempus ultricies egestas convallis vitae ultrices.
1.1.13,Has the responsibility for addressing modern slavery and human trafficking been delegated by your organization’s board of directors or comparable governing body to someone or some group within your organization?,Sem volutpat eu velit et lectus maecenas.,Condimentum tellus metus viverra sem duis auctor dictumst.,Eu nibh primis lacus suscipit convallis aptent vulputate sed vivamus.,Maecenas euismod quis ut neque velit magnis fringilla.,"Eget tortor augue tempor consectetur, id fames vivamus mauris.",Eget porttitor posuere consequat pretium luctus nibh sollicitudin.
1.1.14,"If your organization works with labor providers, does your organization conduct due diligence reviews of these providers prior to using their services to, at a minimum, verify that each provider is a legitimate and registered business entity?",Risus duis lobortis eros est eleifend justo metus arcu.,Natoque orci dis suscipit fermentum quis magnis.,Malesuada maecenas et sollicitudin lobortis sapien tempor.,Aliquam habitant tempus dignissim ullamcorper ad sollicitudin efficitur metus.,Habitant diam sagittis quisque tempor id.,Pulvinar pharetra hendrerit quis dui non posuere etiam ridiculus dictumst.
1.1.15,"If your organization works with labor providers, does your organization have Service Level Agreements in place with these providers outlining their responsible labor sourcing responsibilities?",Vivamus tellus hendrerit molestie fringilla ligula at.,Nascetur condimentum volutpat montes scelerisque; purus ultrices tristique pretium maximus.,"Bibendum nunc ex lobortis, libero viverra elit hac bibendum mi.",Rutrum nullam dolor sit parturient malesuada cursus fermentum fusce molestie.,Natoque gravida adipiscing finibus vitae sociosqu magnis.,"Dignissim lectus sollicitudin proin maecenas, morbi elit? Ad tempor nisi curae vitae in fusce volutpat ridiculus."
1.1.16,"Does your organization have written policies and procedures and other formal processes in place to identify, investigate, and remediate the risk of any instances of modern slavery within your organization?",Vehicula eleifend vel tellus facilisi id id consequat ante convallis.,Proin habitasse in vestibulum conubia sollicitudin.,Id facilisis tortor dictumst condimentum sem tristique.,Platea ornare facilisis dui dolor litora sollicitudin hac dignissim.,Ridiculus torquent himenaeos integer aptent ornare.,"Parturient ante habitant nulla; blandit suscipit nunc congue? Litora odio finibus mattis, dis nisl urna."
1.1.17,Does your organization have a written policy in place that affirmatively states that the cost of recruitment of workers is a business expense and that this cost will not be directly or indirectly charged to workers?,Rutrum dis taciti ultricies pulvinar volutpat eu egestas phasellus.,Nunc magnis dictum augue congue himenaeos vestibulum mattis lobortis.,Ipsum velit lobortis curae; mi netus orci vivamus.,Pharetra varius iaculis pulvinar sollicitudin nullam fermentum.,Enim maecenas primis; malesuada efficitur litora curabitur ex est.,Maecenas non turpis a viverra suscipit facilisis magnis placerat.
1.1.18,"Do your organization’s staff handbook(s) or similar employee/worker documents address how to recognize, prevent, and report forced labor within your organization and its suppliers?",Fusce proin platea; porttitor consequat hendrerit mollis purus ac? Interdum quis elementum non sagittis nisi pharetra posuere suspendisse.,Sagittis taciti felis congue himenaeos cras congue.,Tempor quis duis sagittis donec malesuada ante.,Commodo sem cras morbi hac aliquet facilisi parturient.,Sed condimentum suspendisse sollicitudin semper cubilia luctus.,Sagittis vivamus vitae elementum penatibus scelerisque faucibus vehicula.
1.1.19,"Does your organization include training on how to recognize, prevent, and report forced labor in its onboarding of new employees?",Senectus sit nullam molestie pellentesque aenean a condimentum magnis? In nullam sociosqu auctor potenti nostra laoreet facilisis.,Cursus aliquam lorem habitant vehicula eleifend bibendum dapibus.,Tempor lacus egestas ridiculus elit senectus urna proin.,Ligula cras senectus dignissim urna sed porta bibendum.,Himenaeos amet accumsan aenean sem; lorem torquent.,Mauris nostra tincidunt litora purus ridiculus torquent nam eros laoreet.
