,,3M,Caterpiller,AM International,Yoyodyne,Boeing,IBM,AT&T Technologies,Acme Bank,Bank of the West
,,ChemIndust 3,Keven Real Estate 2,Growth Development V,Rocket Fund,"Space Fund, Aerofund",Qmachine,Global Fund X,Financial Services,Cash Services
,,john@3M.com,madison@cat.com,rich@am.international.org,alan@yoyodyne.org,leila@boeing.com,anne@ibm.com,janet@att.com,siva@acme.org,armon@bankofthewest.com
,,2024,2024,2024,2024,2024,2024,2024,2024,2024
,,Chemicals,Construction,Consulting,Aerospace,Aerospace,Computers,IT,Banking,Banking
,,88,74,65,97,70,95,90,50,77
questionNumber,questionText,answer,answer,answer,answer,answer,answer,answer,answer,answer
1.1.1,"Is your organization currently aware of any slavery, servitude, forced or compulsory labor, and/or human trafficking in any part of the organization’s business (including all sites, facilities, or operational locations) operations or supply chain (including all suppliers)?",Curae molestie ligula platea ex curae viverra consequat class.,Ullamcorper condimentum mollis interdum dictum iaculis.,"Lobortis a vitae non, metus libero proin odio.",Integer iaculis suscipit nam vivamus fusce viverra quisque maximus.,Suspendisse integer nibh diam metus blandit netus fames.,Ultrices mus purus nunc; amet lectus vitae sodales.,"Lorem ipsum odor amet, consectetuer adipiscing elit.",Iaculis eu laoreet odio pretium neque vel.,Tristique facilisis elementum tincidunt non leo sociosqu magna facilisi.
1.1.10,"Does your organization have a written policy, a separate policy or included in an ethical trading policy or Code of Conduct, in place that prohibits modern slavery, including all forms of forced labor, bonded labor, child labor, and human trafficking, in its operations and those of its suppliers?",Morbi quam condimentum laoreet venenatis nisl lacus.,Accumsan tortor tortor fermentum semper justo nulla sodales euismod tellus.,"Inceptos diam eget sit sed sit ex pharetra orci? Dictum per aptent pellentesque mauris, nunc sed.",Potenti est elit fusce volutpat rhoncus mus.,Taciti luctus arcu gravida felis scelerisque blandit.,Diam laoreet nisi platea magnis consequat senectus suscipit orci.,Dui molestie risus torquent risus nisi dis dis phasellus.,Urna vitae consequat iaculis taciti volutpat ultricies.,Nulla ligula interdum euismod fames senectus rutrum phasellus.
1.1.11,"Does your organization currently have a program in place to ensure that modern slavery and human trafficking do not exist in your business operations and supply chain, including those business operations and suppliers located outside of your organization’s home country?",Gravida pellentesque inceptos vivamus neque consequat a eleifend.,Suspendisse iaculis nostra ullamcorper torquent morbi sociosqu aenean.,Class hendrerit varius praesent accumsan proin sagittis risus.,Maecenas montes litora nulla eget tellus curabitur senectus.,Ullamcorper senectus diam nam luctus aliquam facilisi.,Imperdiet pulvinar urna integer justo at amet.,Dolor vestibulum congue libero donec placerat torquent.,"Felis molestie conubia sodales interdum volutpat etiam, netus neque.",Pharetra facilisi facilisis luctus at malesuada.
1.1.12,Has the responsibility for addressing modern slavery and human trafficking been formally assigned to your organization’s board of directors or comparable governing body?,Quam mi vulputate quis libero adipiscing curabitur.,Aliquam ornare maecenas potenti eu eget habitant.,Class feugiat taciti fusce; lectus ligula fames porttitor netus.,Duis augue cubilia metus odio convallis.,Mattis suspendisse condimentum massa dolor tristique hac posuere.,Primis nulla sed auctor mus parturient vitae et malesuada.,Semper pellentesque purus; pulvinar cubilia habitant nec.,Quisque suspendisse hendrerit vivamus mollis mattis mollis nunc.,Habitasse arcu fermentum at rhoncus a metus adipiscing.
1.1.13,Has the responsibility for addressing modern slavery and human trafficking been delegated by your organization’s board of directors or comparable governing body to someone or some group within your organization?,"Interdum rutrum erat consequat, gravida eros vulputate ac.",Tristique sit nullam elementum duis integer mus hendrerit primis.,Est ac erat torquent odio phasellus.,Hendrerit ante nunc leo morbi purus.,Ornare habitant libero ut congue vitae pellentesque velit cras.,Lobortis volutpat senectus sapien nisl metus tellus sociosqu.,Cursus placerat mi accumsan tempor leo.,Sagittis platea elit sit tempor mattis mi vehicula.,Adipiscing posuere congue taciti odio vestibulum vestibulum.
1.1.14,"If your organization works with labor providers, does your organization conduct due diligence reviews of these providers prior to using their services to, at a minimum, verify that each provider is a legitimate and registered business entity?",Sodales sociosqu neque vehicula sit litora efficitur turpis facilisi elit.,Habitant placerat nisi; felis magnis dignissim pretium ante.,Nulla in vehicula egestas phasellus cras.,Et arcu penatibus tempor congue iaculis penatibus conubia.,Habitasse tempor velit bibendum cras netus sapien.,Parturient luctus conubia fermentum penatibus consectetur fringilla natoque erat.,Ullamcorper donec habitant est platea hendrerit nisl platea integer.,Augue lacinia convallis feugiat fermentum montes dui etiam.,Orci potenti eleifend nascetur pharetra neque viverra massa placerat.
1.1.15,"If your organization works with labor providers, does your organization have Service Level Agreements in place with these providers outlining their responsible labor sourcing responsibilities?",Efficitur sapien quis eleifend elit; semper habitant non.,Ante dictum molestie erat adipiscing faucibus; etiam nec cubilia.,Eleifend felis tempus ridiculus lacinia fermentum; dictum lacus.,Eu semper laoreet felis suspendisse non tempor vehicula.,Consectetur consequat netus nullam pretium fringilla sed est fermentum.,Sed posuere facilisi enim congue curae tempor condimentum ex.,"Habitasse curabitur nulla vulputate, ullamcorper elit conubia fames.",Tellus pellentesque imperdiet laoreet elit cras; leo maximus mattis.,Interdum volutpat dolor fusce dictum nunc cursus natoque.
1.1.16,"Does your organization have written policies and procedures and other formal processes in place to identify, investigate, and remediate the risk of any instances of modern slavery within your organization?",Hendrerit eleifend egestas faucibus duis in montes ridiculus feugiat.,"Vulputate dis pellentesque mauris diam faucibus hendrerit, massa fames ridiculus.",Nostra habitasse mi primis id consequat id.,Semper venenatis lacinia auctor curae ut facilisis interdum.,In pulvinar donec porta mi lacinia ipsum.,Et maximus vestibulum habitasse cubilia netus cursus.,Placerat at pretium aenean hac venenatis quis scelerisque est.,Viverra duis viverra dolor massa ad scelerisque nulla laoreet.,Viverra aliquet fames mattis mattis vulputate aptent elementum iaculis.
